cellid_source,cellid_sink,moistureflow_volume
12116,11469,12333.164110022573
12116,11470,11153.888867428877
12116,11471,27558.7864482718
12116,11472,20385.224438865658
12116,11473,10087.373828574322
12116,11474,20385.224438865658
12116,11475,30472.51411407964
12116,11476,55692.597157390126
12116,11477,137604.05989807454
12116,11478,124446.60414133909
12116,11479,92053.10839204068
12116,11480,101785.67369018779
12116,11481,124446.60414133909
12116,11482,152152.62345710752
12116,11483,205695.14306667345
12116,11484,339989.1236338251
12116,11485,307479.96761548653
12116,11486,307479.96761548653
12116,11487,339989.1236338251
12116,11488,339989.1236338251
12116,11489,278079.27934378956
12116,11490,278079.27934378956
12116,11491,205695.14306667345
12116,11492,227442.82162286228
12116,11493,186026.9388997338
12116,11494,137604.05989807454
12116,11495,205695.14306667345
12116,11496,205695.14306667345
12116,11497,152152.62345710752
12116,11498,137604.05989807454
12116,11499,137604.05989807454
12116,11500,112547.24093011927
12116,11501,112547.24093011927
12116,11502,83251.1536980045
12116,11503,112547.24093011927
12116,11504,75290.82627532499
12116,11505,92053.10839204068
12116,11506,75290.82627532499
12116,11507,68091.65121944786
12116,11508,83251.1536980045
12116,11512,101785.67369018779
12116,11513,68091.65121944786
12116,11514,55692.597157390126
12116,11515,75290.82627532499
12116,11516,55692.597157390126
12116,11532,61580.8484932306
12116,11533,55692.597157390126
12116,11534,68091.65121944786
12116,11535,61580.8484932306
12116,11536,50367.369953928064
12116,11537,50367.369953928064
12116,11538,45551.33151550691
12116,11539,50367.369953928064
12116,11540,50367.369953928064
12116,11541,41195.79411697658
12116,11542,33694.30356361041
12116,11543,30472.51411407964
12116,11544,24923.66424569258
12116,11646,0.002587618878720772
12116,11647,0.0028612019238104885
12116,11648,0.0028612019238104885
12116,11649,0.002587618878720772
12116,11650,0.002587618878720772
12116,11651,0.002587618878720772
12116,11652,0.0028612019238104885
12116,11653,0.0031637102805742176
12116,11654,0.0031637102805742176
12116,11655,0.0028612019238104885
12116,11656,0.002587618878720772
12116,11657,0.0028612019238104885
12116,11658,0.002587618878720772
12116,11659,9.818666211744697
12116,11660,0.0021164300355267854
12116,11661,0.17624816377943747
12116,11662,0.23826990583616184
12116,11663,0.002587618878720772
12116,11664,2.4042395273318564
12116,11665,668.7700050475411
12116,11666,1652.3824086086086
12116,11667,0.0023401953583880104
12116,11668,17.94492636565606
12116,11669,163.75781049629165
12116,11670,148.09957956894257
12116,11671,365.9212257652829
12116,11672,604.8234052207442
12116,11673,2233.8559021653627
12116,11674,2731.1877112659445
12116,11675,4082.670579828251
12116,11676,604.8234052207442
12116,11677,2470.036394212224
12116,11678,4514.322033028254
12116,11679,4514.322033028254
12116,11680,13637.121435638941
12116,11681,20385.224438865658
12116,11682,30472.51411407964
12116,11683,15078.943196680024
12116,11684,13637.121435638941
12116,11685,45551.33151550691
12116,11686,41195.79411697658
12116,11687,101785.67369018779
12116,11688,101785.67369018779
12116,11689,137604.05989807454
12116,11690,112547.24093011927
12116,11691,137604.05989807454
12116,11692,205695.14306667345
12116,11693,227442.82162286228
12116,11694,339989.1236338251
12116,11695,459631.32174771786
12116,11696,415682.19128757593
12116,11697,459631.32174771786
12116,11698,339989.1236338251
12116,11699,307479.96761548653
12116,11700,278079.27934378956
12116,11701,251489.83265492786
12116,11702,186026.9388997338
12116,11703,168239.37347508586
12116,11704,205695.14306667345
12116,11705,168239.37347508586
12116,11706,168239.37347508586
12116,11707,168239.37347508586
12116,11708,152152.62345710752
12116,11709,112547.24093011927
12116,11710,112547.24093011927
12116,11711,75290.82627532499
12116,11712,75290.82627532499
12116,11713,92053.10839204068
12116,11714,92053.10839204068
12116,11715,83251.1536980045
12116,11716,68091.65121944786
12116,11717,83251.1536980045
12116,11718,75290.82627532499
12116,11722,50367.369953928064
12116,11723,61580.8484932306
12116,11724,61580.8484932306
12116,11725,75290.82627532499
12116,11726,61580.8484932306
12116,11727,68091.65121944786
12116,11728,75290.82627532499
12116,11742,61580.8484932306
12116,11743,75290.82627532499
12116,11744,68091.65121944786
12116,11745,50367.369953928064
12116,11746,68091.65121944786
12116,11747,50367.369953928064
12116,11748,45551.33151550691
12116,11749,45551.33151550691
12116,11750,45551.33151550691
12116,11751,22540.50774688482
12116,11752,30472.51411407964
12116,11753,27558.7864482718
12116,11856,0.0023401953583880104
12116,11857,0.002587618878720772
12116,11858,0.0028612019238104885
12116,11859,0.002587618878720772
12116,11860,0.002587618878720772
12116,11861,0.002587618878720772
12116,11862,0.0028612019238104885
12116,11863,0.0028612019238104885
12116,11864,0.0028612019238104885
12116,11865,0.0028612019238104885
12116,11866,0.002587618878720772
12116,11867,0.0031637102805742176
12116,11868,0.002587618878720772
12116,11869,1.3154930218679248
